Address,Lat,Lon,Status,Status_Update_Time,Score
"Albert Heijn, Van Wevelinckhovenplein 60, 7772 VJ Hardenberg, Netherlands",52.576872,6.6195977,1,2024-04-29 14:30:00,1
"Albert Heijn, Krommekamp 115, 3848 DP Harderwijk, Netherlands",52.3494148,5.648464,1,2024-04-29 14:30:00,1
"Albert Heijn, Dorpsstraat 36, 7971 CS Havelte, Netherlands",52.7708043,6.2352513,1,2024-04-29 14:30:00,1
Europassage 21 1966WH Heemskerk,52.51108,4.67165,1,2024-04-29 14:30:00,1
"De Waterwegen, Albert Heijn, Rijksstraatweg 40, 1964 LJ Heemskerk, Netherlands",52.5054609,4.6559954,1,2024-04-29 14:30:00,1
"Albert Heijn, Zandvoortselaan 169, 2106 AM Heemstede, Netherlands",52.3597414,4.6044708,1,2024-04-29 14:30:00,1
"Albert Heijn, Nico de Regtplein 5, 3218 XW Heenvliet, Netherlands",51.8621144,4.2355823,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Bautscherweg 43, 6418 EJ Heerlen, Netherlands",50.867444,6.0063404,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Sittarderweg 152, 6412 CM Heerlen, Netherlands",50.9009301,5.9716562,1,2024-04-29 14:30:00,1
"Albert Heijn, 't Dorp 40, 5384 MC Heesch, Netherlands",51.7359173,5.5303507,1,2024-04-29 14:30:00,1
"Albert Heijn, 't Loo 61, 1851 HT Heiloo, Netherlands",52.605732,4.7120929,1,2024-04-29 14:30:00,1
"Albert Heijn, Dorpsstraat 48b, 7447 CT Hellendoorn, Netherlands",52.3905005,6.448769,1,2024-04-29 14:30:00,1
"Struytse Hoeck 91a, 3224 HA Hellevoetsluis, Netherlands",51.83063,4.1453442,1,2024-04-29 14:30:00,1
"Albert Heijn, De Plaetse 87, 5708 ZK Helmond, Netherlands",51.4597071,5.6108063,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Dijksestraat 131, 5701 AL Helmond, Netherlands",51.4883026,5.6676428,1,2024-04-29 14:30:00,1
Janssen en Fritsenplein 11 5706DZ Helmond,51.48167,5.66111,1,2024-04-29 14:30:00,1
"PLUS, Sophiapromenade 14, 3344 PM Hendrik-Ido-Ambacht, Netherlands",51.8351599,4.6468024,1,2024-04-29 14:30:00,1
"Albert Heijn, Uitslagsweg 95-1, 7556 LN Hengelo, Netherlands",52.2767094,6.7922748,1,2024-04-29 14:30:00,1
"Albert Heijn, Willem de Mérodestraat 10, 7552 WZ Hengelo, Netherlands",52.2626675,6.8208042,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Craenberglaan 13, 6075 HC Herkenbosch, Netherlands",51.1555541,6.0639723,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Groene Kruisstraat 8, 6049 BW Merum, Netherlands",51.1797164,5.9633265,1,2024-04-29 14:30:00,1
"Albert Heijn, Gruttostraat 23, 5212 VM 's-Hertogenbosch, Netherlands",51.7009327,5.3023027,1,2024-04-29 14:30:00,1
"Albert Heijn, Lokerenpassage 25, 5235 KR 's-Hertogenbosch, Netherlands",51.7261794,5.3084674,1,2024-04-29 14:30:00,1
"Albert Heijn Heerschap, Sint Antoniusstraat 1a, 6093 GA Heythuysen, Netherlands",51.2506709,5.8997217,1,2024-04-29 14:30:00,1
"Gall & Gall, Gelderstraat 52, 5081 AV Hilvarenbeek, Netherlands",51.482616,5.1378091,1,2024-04-29 14:30:00,1
"Bodemanstraat 9B, 1216 AH Hilversum, Netherlands",52.2214634,5.1552988,1,2024-04-29 14:30:00,1
"Gijsbrecht van Amstelstraat 177, 1214 AX Hilversum, Netherlands",52.2154341,5.1679827,1,2024-04-29 14:30:00,1
"Albert Heijn, Kapittelweg 105, 1216 HX Hilversum, Netherlands",52.2161337,5.1407587,1,2024-04-29 14:30:00,1
"Albert Heijn, Oosterengweg 70, 1212 CP Hilversum, Netherlands",52.2188907,5.1950414,1,2024-04-29 14:30:00,1
"Albert Heijn, Prins Hendrikstraat 382, 3151 AW Hook of Holland, Netherlands",51.9777455,4.1286673,1,2024-04-29 14:30:00,1
"Albert Heijn, Larenseweg 102D, 7451 EN Holten, Netherlands",52.2712327,6.4058376,1,2024-04-29 14:30:00,1
"Dijkstraat 102, 2675 AZ Honselersdijk, Netherlands",52.0085085,4.2291052,1,2024-04-29 14:30:00,1
"Albert Heijn, Genderenplein 13, 2134 DP Hoofddorp, Netherlands",52.306975,4.638628,1,2024-04-29 14:30:00,1
"Albert Heijn, Muiderbos 140, 2134 SV Hoofddorp, Netherlands",52.3146925,4.6595284,1,2024-04-29 14:30:00,1
"Albert Heijn, Gorecht-Oost 6a, 9603 AA Hoogezand, Netherlands",53.1566156,6.756279,1,2024-04-29 14:30:00,1
"Albert Heijn, Streekweg 210, 1616 AN Hoogkarspel, Netherlands",52.6940185,5.1777257,1,2024-04-29 14:30:00,1
"Albert Heijn, Kraailandhof 106, 3828 JM Amersfoort, Netherlands",52.187146,5.3755141,1,2024-04-29 14:30:00,1
"Winkelcentrum De Kersenboogerd, Albert Heijn, Aagje Dekenplein 29, 1628 NX Hoorn, Netherlands",52.6515605,5.0861291,1,2024-04-29 14:30:00,1
